Altium Designer Pick and Place Locations
E:\Ayush's Projects\Altium Projects\ESP32\Project Outputs for ESP32\Pick Place\Pick Place for ESP32_USBCv1(Prototype).csv

========================================================================================================================
File Design Information:

Date:       06-08-25
Time:       19:45
Revision:   Not in VersionControl
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"Q2","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1099.000","806.000","0","TRANS NPN 25V 1.5A SOT-23-3"
"U3","TL1963A-33DCYR","TopLayer","DCY0004A_N","780.000","290.000","0","IC REG LIN 3.3V 1.5A SOT-223-4"
"U2","FT231XQ-R","TopLayer","FP-QFN-20-IPC_B","710.000","770.000","270","IC USB SERIAL FULL UART 20QFN"
"U1","ESP32-S3-MINI-1-N8","TopLayer","XCVR_ESP32-S3-MINI-1-N8","2395.039","500.000","270","SMD module, ESP32-S3FN8, 8 MB SPI flash, PCB antenna"
"SW2","Reset","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","1400.000","250.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW1","Reset","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","1400.000","750.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R27","10k","TopLayer","RESC1005X37N","983.655","826.354","90","RES SMD 10K OHM 1% 1/16W 0402"
"R26","5.1k","TopLayer","RESC1005X37N","425.000","260.000","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R25","5.1k","TopLayer","RESC1005X37N","425.000","160.000","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R24","10k","TopLayer","RESC1005X37N","996.000","683.000","270","RES SMD 10K OHM 1% 1/16W 0402"
"R23","5.1k","TopLayer","RESC1005X37N","428.000","840.000","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R22","5.1k","TopLayer","RESC1005X37N","418.000","719.000","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R21","1K, 16W","TopLayer","RESC1005X37N","1760.000","188.000","270","RES 1K OHM 1% 1/16W 0402"
"R20","1K, 16W","TopLayer","RESC1005X37N","1760.000","820.000","90","RES 1K OHM 1% 1/16W 0402"
"R19","1K, 16W","TopLayer","RESC1005X37N","1327.156","504.000","180","RES 1K OHM 1% 1/16W 0402"
"R18","0R, Jumper","TopLayer","RESC1005X37N","1875.000","445.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R17","0R, Jumper","TopLayer","RESC1005X37N","1875.000","520.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R14","10k","TopLayer","RESC1005X37N","870.000","570.000","180","RES SMD 10K OHM 1% 1/16W 0402"
"R13","4k7R","TopLayer","RESC1005X37N","870.000","620.000","0","RES 4.7K OHM 1% 1/16W 0402"
"R11","0R, Jumper","TopLayer","RESC1005X37N","2035.000","143.000","0","RES 0 OHM JUMPER 1/16W 0402"
"R10","0R, Jumper","TopLayer","RESC1005X37N","2132.000","142.000","0","RES 0 OHM JUMPER 1/16W 0402"
"R9","0R, Jumper","TopLayer","RESC1005X37N","581.000","596.000","90","RES 0 OHM JUMPER 1/16W 0402"
"R8","27R","TopLayer","RESC1005X37N","1915.000","785.000","0","RES 27 OHM 1% 1/16W 0402"
"R7","27R","TopLayer","RESC1005X37N","530.000","785.000","0","RES 27 OHM 1% 1/16W 0402"
"R6","10k","TopLayer","RESC1005X37N","1665.500","267.500","90","RES SMD 10K OHM 1% 1/16W 0402"
"R5","27R","TopLayer","RESC1005X37N","530.000","735.000","0","RES 27 OHM 1% 1/16W 0402"
"R4","27R","TopLayer","RESC1005X37N","1950.000","840.000","180","RES 27 OHM 1% 1/16W 0402"
"R1","0R, Jumper","TopLayer","RESC1005X37N","638.000","498.000","0","RES 0 OHM JUMPER 1/16W 0402"
"Q1","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1100.000","630.000","0","TRANS NPN 25V 1.5A SOT-23-3"
"J5","FTS-103-01-F-S","TopLayer","HDR_01X03_1.27","375.000","500.000","0","CONN HEADER VERT 3POS 1.27MM"
"J4","217179-0001","TopLayer","FP-2171790001-MFG","157.579","220.079","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J3","217179-0001","TopLayer","FP-2171790001-MFG","157.579","779.921","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J2","24Pin Male Header","BottomLayer","HDR_01X24_2.54MM","1500.000","50.000","90","CONN HEADER VERT 24POS 2.54MM"
"J1","24Pin Male Header","BottomLayer","HDR_01X24_2.54MM","1500.000","950.000","90","CONN HEADER VERT 24POS 2.54MM"
"D9","AQ3045-01ETG","TopLayer","SOD882","340.000","175.000","90","TVS DIODE 5.3VWM 12VC SOD882"
"D8","AQ3045-01ETG","TopLayer","SOD882","340.000","240.000","270","TVS DIODE 5.3VWM 12VC SOD882"
"D7","AQ3045-01ETG","TopLayer","SOD882","344.406","357.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"D6","AQ3045-01ETG","TopLayer","SOD882","341.838","737.094","90","TVS DIODE 5.3VWM 12VC SOD882"
"D5","AQ3045-01ETG","TopLayer","SOD882","340.500","821.869","270","TVS DIODE 5.3VWM 12VC SOD882"
"D4","AQ3045-01ETG","TopLayer","SOD882","342.323","629.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"D3","GREEN","TopLayer","LEDC1005X35N","1760.000","268.000","270","LED YLW-GRN 0402 SMD"
"D2","GREEN","TopLayer","LEDC1005X35N","1760.000","740.000","90","LED YLW-GRN 0402 SMD"
"D1","GREEN","TopLayer","LEDC1005X35N","1428.156","504.000","180","LED YLW-GRN 0402 SMD"
